pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
25.0,2023-03-05 06:00:00,0.1,91.0,5.8
15.0,2023-02-28 04:00:00,-0.7,77.0,5.1
14.0,2023-03-13 03:00:00,4.668407310704956,77.81462140992167,9.1639686684073
27.0,2023-02-23 09:00:00,7.3,78.0,1.8
27.0,2023-02-22 08:00:00,4.3,88.0,5.1
10.0,2023-03-12 16:00:00,4.668407310704956,77.81462140992167,9.1639686684073
23.0,2023-03-02 22:00:00,2.2,92.0,3.4
23.0,2023-03-04 14:00:00,12.6,44.0,5.5
28.0,2023-03-03 01:00:00,0.9,99.0,3.1
34.0,2023-03-06 13:00:00,9.0,57.0,5.2
10.0,2023-02-27 16:00:00,2.1,50.0,13.2
24.0,2023-03-02 23:00:00,0.9,98.0,2.5
19.0,2023-03-10 00:00:00,4.668407310704956,77.81462140992167,9.1639686684073
53.0,2023-03-06 19:00:00,3.7,88.0,3.6
22.0,2023-03-04 06:00:00,-1.6,95.0,8.3
30.0,2023-02-28 18:00:00,2.2,67.0,7.1
6.0,2023-02-27 06:00:00,-0.7,62.0,14.1
6.0,2023-03-11 05:00:00,4.668407310704956,77.81462140992167,9.1639686684073
3.0,2023-03-11 06:00:00,4.668407310704956,77.81462140992167,9.1639686684073
38.0,2023-02-24 19:00:00,7.8,73.0,21.1
19.0,2023-03-01 05:00:00,0.7,73.0,8.8
11.0,2023-03-14 05:00:00,4.668407310704956,77.81462140992167,9.1639686684073
19.67161410018553,2023-02-26 05:00:00,0.5,94.0,8.9
34.0,2023-03-07 03:00:00,1.6,97.0,3.1
39.0,2023-02-24 07:00:00,1.4,93.0,11.1
32.0,2023-03-04 11:00:00,11.2,50.0,7.1
22.0,2023-03-09 19:00:00,11.0,75.0,10.7
10.0,2023-03-11 21:00:00,4.668407310704956,77.81462140992167,9.1639686684073
7.0,2023-02-27 12:00:00,3.1,44.0,15.1
14.0,2023-03-16 07:00:00,4.668407310704956,77.81462140992167,9.1639686684073
23.0,2023-02-24 12:00:00,12.4,56.0,23.0
5.0,2023-03-12 04:00:00,4.668407310704956,77.81462140992167,9.1639686684073
32.0,2023-03-07 04:00:00,1.5,97.0,2.9
22.0,2023-03-01 07:00:00,1.1,74.0,9.2
31.0,2023-03-01 17:00:00,3.0,89.0,11.7
12.0,2023-03-10 23:00:00,4.668407310704956,77.81462140992167,9.1639686684073
9.0,2023-03-09 04:00:00,7.0,86.0,22.0
19.67161410018553,2023-03-02 11:00:00,6.7,64.0,9.0
21.0,2023-02-28 00:00:00,-0.8,79.0,5.7
23.0,2023-03-08 02:00:00,2.0,95.0,5.9
46.0,2023-03-06 22:00:00,2.6,99.0,9.0
6.0,2023-03-10 12:00:00,4.668407310704956,77.81462140992167,9.1639686684073
28.0,2023-03-05 11:00:00,6.8,61.0,10.5
4.0,2023-03-15 03:00:00,4.668407310704956,77.81462140992167,9.1639686684073
9.0,2023-02-27 07:00:00,-0.1,61.0,14.7
23.0,2023-03-01 03:00:00,0.8,74.0,9.5
23.0,2023-03-04 01:00:00,0.6,94.0,4.9
12.0,2023-03-10 05:00:00,4.668407310704956,77.81462140992167,9.1639686684073
31.0,2023-03-06 01:00:00,1.3,93.0,3.2
